x,y,z,groundZ,timestamp,obstacle
149.27,-0.48,3.08,0.23,2026-05-10T07:02:58Z,false
150.85,-0.53,3.07,0.23,2026-05-10T07:03:00Z,false
152.43,-0.58,3.07,0.23,2026-05-10T07:03:02Z,false
154.02,-0.63,3.07,0.23,2026-05-10T07:03:04Z,false
155.61,-0.67,3.07,0.23,2026-05-10T07:03:06Z,false
157.20,-0.70,3.07,0.23,2026-05-10T07:03:08Z,false
158.80,-0.73,3.07,0.23,2026-05-10T07:03:10Z,false
160.40,-0.76,3.07,0.23,2026-05-10T07:03:12Z,false
162.01,-0.78,3.07,0.23,2026-05-10T07:03:14Z,false
163.62,-0.79,3.07,0.23,2026-05-10T07:03:16Z,false
165.24,-0.80,3.07,0.23,2026-05-10T07:03:18Z,false
166.87,-0.80,3.07,0.23,2026-05-10T07:03:20Z,false
168.50,-0.80,3.07,0.23,2026-05-10T07:03:22Z,false
170.14,-0.79,3.06,0.23,2026-05-10T07:03:24Z,false
171.78,-0.77,3.06,0.23,2026-05-10T07:03:26Z,false
173.43,-0.75,3.06,0.23,2026-05-10T07:03:28Z,false
175.09,-0.73,3.06,0.23,2026-05-10T07:03:30Z,false
176.75,-0.70,3.06,0.23,2026-05-10T07:03:32Z,false
178.42,-0.66,3.06,0.22,2026-05-10T07:03:34Z,false
180.09,-0.63,3.06,0.22,2026-05-10T07:03:36Z,false
181.77,-0.58,3.06,0.22,2026-05-10T07:03:38Z,false
183.45,-0.54,3.06,0.22,2026-05-10T07:03:40Z,false
185.13,-0.49,3.06,0.22,2026-05-10T07:03:42Z,false
186.81,-0.45,3.06,0.22,2026-05-10T07:03:44Z,false
188.50,-0.40,3.05,0.22,2026-05-10T07:03:46Z,false
190.19,-0.35,3.05,0.22,2026-05-10T07:03:48Z,false
191.88,-0.30,3.05,0.22,2026-05-10T07:03:50Z,false
193.56,-0.25,3.05,0.22,2026-05-10T07:03:52Z,false
195.25,-0.20,3.05,0.22,2026-05-10T07:03:54Z,false
196.94,-0.15,3.05,0.22,2026-05-10T07:03:56Z,false
198.62,-0.11,3.05,0.22,2026-05-10T07:03:58Z,false
200.30,-0.07,3.05,0.22,2026-05-10T07:04:00Z,false
201.97,-0.03,3.05,0.22,2026-05-10T07:04:02Z,false
203.65,0.01,3.05,0.22,2026-05-10T07:04:04Z,false
205.32,0.04,3.05,0.22,2026-05-10T07:04:06Z,false
206.98,0.07,3.04,0.21,2026-05-10T07:04:08Z,false
208.64,0.09,3.04,0.21,2026-05-10T07:04:10Z,false
210.30,0.11,3.04,0.21,2026-05-10T07:04:12Z,false
211.95,0.13,3.04,0.21,2026-05-10T07:04:14Z,false
213.60,0.14,3.04,0.21,2026-05-10T07:04:16Z,false
215.24,0.15,3.04,0.21,2026-05-10T07:04:18Z,false
216.88,0.15,3.04,0.21,2026-05-10T07:04:20Z,false
218.52,0.15,3.04,0.21,2026-05-10T07:04:22Z,false
220.15,0.14,3.04,0.21,2026-05-10T07:04:24Z,false
221.79,0.13,3.04,0.21,2026-05-10T07:04:26Z,false
223.41,0.12,3.03,0.21,2026-05-10T07:04:28Z,false
225.04,0.10,3.03,0.21,2026-05-10T07:04:30Z,false
226.67,0.08,3.03,0.21,2026-05-10T07:04:32Z,false
228.29,0.06,3.03,0.21,2026-05-10T07:04:34Z,false
229.92,0.04,3.03,0.21,2026-05-10T07:04:36Z,false
231.54,0.02,3.03,0.20,2026-05-10T07:04:38Z,false
233.17,-0.01,3.03,0.20,2026-05-10T07:04:40Z,false
234.80,-0.03,3.03,0.20,2026-05-10T07:04:42Z,false
236.44,-0.06,3.03,0.20,2026-05-10T07:04:44Z,false
238.07,-0.08,3.03,0.20,2026-05-10T07:04:46Z,false
239.71,-0.11,3.03,0.20,2026-05-10T07:04:48Z,false
241.36,-0.13,3.03,0.20,2026-05-10T07:04:50Z,false
243.01,-0.15,3.02,0.20,2026-05-10T07:04:52Z,false
244.66,-0.16,3.02,0.20,2026-05-10T07:04:54Z,false
246.32,-0.18,3.02,0.20,2026-05-10T07:04:56Z,false
247.99,-0.19,3.02,0.20,2026-05-10T07:04:58Z,false
249.66,-0.19,3.02,0.20,2026-05-10T07:05:00Z,false
251.33,-0.20,3.02,0.20,2026-05-10T07:05:02Z,false
253.01,-0.19,3.02,0.19,2026-05-10T07:05:04Z,false
254.70,-0.19,3.02,0.19,2026-05-10T07:05:06Z,false
256.39,-0.18,3.02,0.19,2026-05-10T07:05:08Z,false
258.09,-0.16,3.02,0.19,2026-05-10T07:05:10Z,false
259.79,-0.14,3.02,0.19,2026-05-10T07:05:12Z,false
261.49,-0.12,3.02,0.19,2026-05-10T07:05:14Z,false
263.20,-0.09,3.02,0.19,2026-05-10T07:05:16Z,false
264.91,-0.05,3.02,0.19,2026-05-10T07:05:18Z,false
266.62,-0.02,3.01,0.19,2026-05-10T07:05:20Z,false
268.34,0.02,3.01,0.19,2026-05-10T07:05:22Z,false
270.05,0.07,3.01,0.19,2026-05-10T07:05:24Z,false
271.76,0.11,3.01,0.19,2026-05-10T07:05:26Z,false
273.48,0.16,3.01,0.19,2026-05-10T07:05:28Z,false
275.19,0.22,3.01,0.19,2026-05-10T07:05:30Z,false
276.90,0.27,3.01,0.19,2026-05-10T07:05:32Z,false
278.60,0.32,3.01,0.18,2026-05-10T07:05:34Z,false
280.30,0.38,3.01,0.18,2026-05-10T07:05:36Z,false
282.00,0.43,3.01,0.18,2026-05-10T07:05:38Z,false
283.69,0.49,3.01,0.18,2026-05-10T07:05:40Z,false
285.38,0.54,3.01,0.18,2026-05-10T07:05:42Z,false
287.06,0.59,3.01,0.18,2026-05-10T07:05:44Z,false
288.73,0.64,3.01,0.18,2026-05-10T07:05:46Z,false
290.40,0.68,3.01,0.18,2026-05-10T07:05:48Z,false
292.06,0.73,3.01,0.18,2026-05-10T07:05:50Z,false
293.71,0.76,3.01,0.18,2026-05-10T07:05:52Z,false
295.36,0.80,3.01,0.18,2026-05-10T07:05:54Z,false
297.00,0.83,3.01,0.18,2026-05-10T07:05:56Z,false
298.63,0.85,3.01,0.18,2026-05-10T07:05:58Z,false
300.26,0.87,3.01,0.18,2026-05-10T07:06:00Z,false
301.88,0.88,3.01,0.18,2026-05-10T07:06:02Z,false
303.50,0.89,3.01,0.18,2026-05-10T07:06:04Z,false
305.11,0.89,3.01,0.18,2026-05-10T07:06:06Z,false
306.71,0.89,3.01,0.18,2026-05-10T07:06:08Z,false
308.31,0.88,3.01,0.17,2026-05-10T07:06:10Z,false
309.91,0.86,3.01,0.17,2026-05-10T07:06:12Z,false
311.51,0.84,3.01,0.17,2026-05-10T07:06:14Z,false
313.10,0.82,3.01,0.17,2026-05-10T07:06:16Z,false
314.69,0.79,3.01,0.17,2026-05-10T07:06:18Z,false
316.29,0.75,3.01,0.17,2026-05-10T07:06:20Z,false
317.88,0.71,3.01,0.17,2026-05-10T07:06:22Z,false
319.47,0.66,3.01,0.17,2026-05-10T07:06:24Z,false
321.07,0.61,3.01,0.17,2026-05-10T07:06:26Z,false
322.67,0.56,3.01,0.17,2026-05-10T07:06:28Z,false
324.27,0.51,3.01,0.17,2026-05-10T07:06:30Z,false
325.87,0.45,3.01,0.17,2026-05-10T07:06:32Z,false
327.48,0.39,3.01,0.17,2026-05-10T07:06:34Z,false
329.09,0.33,3.01,0.17,2026-05-10T07:06:36Z,false
330.71,0.28,3.01,0.17,2026-05-10T07:06:38Z,false
332.33,0.22,3.01,0.17,2026-05-10T07:06:40Z,false
333.96,0.16,3.01,0.17,2026-05-10T07:06:42Z,false
335.59,0.10,3.01,0.17,2026-05-10T07:06:44Z,false
337.22,0.05,3.01,0.17,2026-05-10T07:06:46Z,false
338.87,-0.00,3.01,0.17,2026-05-10T07:06:48Z,false
340.51,-0.05,3.01,0.17,2026-05-10T07:06:50Z,false
342.16,-0.10,3.01,0.17,2026-05-10T07:06:52Z,false
343.82,-0.14,3.01,0.17,2026-05-10T07:06:54Z,false
345.48,-0.18,3.01,0.17,2026-05-10T07:06:56Z,false
347.14,-0.21,3.01,0.17,2026-05-10T07:06:58Z,false
348.81,-0.24,3.01,0.17,2026-05-10T07:07:00Z,false
350.48,-0.27,3.01,0.17,2026-05-10T07:07:02Z,false
352.14,-0.29,3.01,0.17,2026-05-10T07:07:04Z,false
353.82,-0.30,3.01,0.17,2026-05-10T07:07:06Z,false
355.49,-0.31,3.01,0.17,2026-05-10T07:07:08Z,false
357.16,-0.32,3.01,0.17,2026-05-10T07:07:10Z,false
358.83,-0.32,3.01,0.17,2026-05-10T07:07:12Z,false
360.49,-0.32,3.01,0.17,2026-05-10T07:07:14Z,false
362.16,-0.31,3.01,0.17,2026-05-10T07:07:16Z,false
363.82,-0.30,3.01,0.17,2026-05-10T07:07:18Z,false
365.49,-0.28,3.01,0.17,2026-05-10T07:07:20Z,false
367.14,-0.26,3.01,0.17,2026-05-10T07:07:22Z,false
368.80,-0.24,3.01,0.17,2026-05-10T07:07:24Z,false
370.44,-0.22,3.01,0.17,2026-05-10T07:07:26Z,false
372.09,-0.20,3.01,0.17,2026-05-10T07:07:28Z,false
373.73,-0.17,3.01,0.17,2026-05-10T07:07:30Z,false
375.36,-0.14,3.01,0.17,2026-05-10T07:07:32Z,false
377.00,-0.12,3.01,0.17,2026-05-10T07:07:34Z,false
378.62,-0.09,3.02,0.17,2026-05-10T07:07:36Z,false
380.24,-0.06,3.02,0.17,2026-05-10T07:07:38Z,false
381.86,-0.04,3.02,0.17,2026-05-10T07:07:40Z,false
383.48,-0.02,3.02,0.17,2026-05-10T07:07:42Z,false
385.09,0.00,3.02,0.17,2026-05-10T07:07:44Z,false
386.70,0.02,3.02,0.17,2026-05-10T07:07:46Z,false
388.30,0.04,3.02,0.17,2026-05-10T07:07:48Z,false
389.91,0.05,3.02,0.17,2026-05-10T07:07:50Z,false
391.51,0.05,3.02,0.17,2026-05-10T07:07:52Z,false
393.12,0.06,3.02,0.17,2026-05-10T07:07:54Z,false
394.72,0.06,3.02,0.17,2026-05-10T07:07:56Z,false
396.33,0.05,3.02,0.17,2026-05-10T07:07:58Z,false
397.93,0.04,3.02,0.17,2026-05-10T07:08:00Z,false
399.54,0.03,3.02,0.17,2026-05-10T07:08:02Z,false
401.16,0.01,3.02,0.17,2026-05-10T07:08:04Z,false
402.77,-0.01,3.02,0.17,2026-05-10T07:08:06Z,false
404.39,-0.03,3.03,0.17,2026-05-10T07:08:08Z,false
406.02,-0.06,3.03,0.17,2026-05-10T07:08:10Z,false
407.65,-0.10,3.03,0.17,2026-05-10T07:08:12Z,false
409.29,-0.13,3.03,0.17,2026-05-10T07:08:14Z,false
410.93,-0.17,3.03,0.17,2026-05-10T07:08:16Z,false
412.58,-0.21,3.03,0.17,2026-05-10T07:08:18Z,false
414.24,-0.25,3.03,0.17,2026-05-10T07:08:20Z,false
415.90,-0.30,3.03,0.17,2026-05-10T07:08:22Z,false
417.57,-0.34,3.03,0.17,2026-05-10T07:08:24Z,false
419.25,-0.38,3.03,0.18,2026-05-10T07:08:26Z,false
420.93,-0.43,3.03,0.18,2026-05-10T07:08:28Z,false
422.62,-0.47,3.03,0.18,2026-05-10T07:08:30Z,false
424.31,-0.51,3.03,0.18,2026-05-10T07:08:32Z,false
426.01,-0.55,3.03,0.18,2026-05-10T07:08:34Z,false
427.72,-0.59,3.03,0.18,2026-05-10T07:08:36Z,false
429.43,-0.62,3.04,0.18,2026-05-10T07:08:38Z,false
431.14,-0.65,3.04,0.18,2026-05-10T07:08:40Z,false
432.85,-0.68,3.04,0.18,2026-05-10T07:08:42Z,false
434.57,-0.70,3.04,0.18,2026-05-10T07:08:44Z,false
436.29,-0.72,3.04,0.18,2026-05-10T07:08:46Z,false
438.01,-0.73,3.04,0.18,2026-05-10T07:08:48Z,false
439.73,-0.74,3.04,0.18,2026-05-10T07:08:50Z,false
441.45,-0.74,3.04,0.18,2026-05-10T07:08:52Z,false
443.16,-0.73,3.04,0.18,2026-05-10T07:08:54Z,false
444.88,-0.72,3.04,0.19,2026-05-10T07:08:56Z,false
446.59,-0.70,3.04,0.19,2026-05-10T07:08:58Z,false
448.30,-0.68,3.04,0.19,2026-05-10T07:09:00Z,false
450.00,-0.64,3.04,0.19,2026-05-10T07:09:02Z,false
451.70,-0.60,3.04,0.19,2026-05-10T07:09:04Z,false
453.39,-0.56,3.04,0.19,2026-05-10T07:09:06Z,false
455.08,-0.51,3.05,0.19,2026-05-10T07:09:08Z,false
456.76,-0.45,3.05,0.19,2026-05-10T07:09:10Z,false
458.44,-0.39,3.05,0.19,2026-05-10T07:09:12Z,false
460.11,-0.32,3.05,0.19,2026-05-10T07:09:14Z,false
461.77,-0.25,3.05,0.19,2026-05-10T07:09:16Z,false
463.43,-0.17,3.05,0.19,2026-05-10T07:09:18Z,false
465.08,-0.09,3.05,0.20,2026-05-10T07:09:20Z,false
466.72,-0.00,3.05,0.20,2026-05-10T07:09:22Z,false
468.36,0.08,3.05,0.20,2026-05-10T07:09:24Z,false
470.00,0.17,3.05,0.20,2026-05-10T07:09:26Z,false
471.63,0.27,3.05,0.20,2026-05-10T07:09:28Z,false
473.26,0.36,3.05,0.20,2026-05-10T07:09:30Z,false
474.88,0.45,3.05,0.20,2026-05-10T07:09:32Z,false
476.50,0.55,3.05,0.20,2026-05-10T07:09:34Z,false
478.12,0.64,3.05,0.20,2026-05-10T07:09:36Z,false
479.73,0.74,3.05,0.20,2026-05-10T07:09:38Z,false
481.35,0.83,3.05,0.20,2026-05-10T07:09:40Z,false
482.96,0.93,3.06,0.21,2026-05-10T07:09:42Z,false
484.58,1.02,3.06,0.21,2026-05-10T07:09:44Z,false
486.20,1.11,3.06,0.21,2026-05-10T07:09:46Z,false
487.81,1.19,3.06,0.21,2026-05-10T07:09:48Z,false
489.44,1.28,3.06,0.21,2026-05-10T07:09:50Z,false
491.06,1.36,3.06,0.21,2026-05-10T07:09:52Z,false
492.68,1.44,3.06,0.21,2026-05-10T07:09:54Z,false
494.31,1.52,3.06,0.21,2026-05-10T07:09:56Z,false
495.95,1.60,3.06,0.21,2026-05-10T07:09:58Z,false
497.59,1.67,3.06,0.22,2026-05-10T07:10:00Z,false
499.23,1.75,3.06,0.22,2026-05-10T07:10:02Z,false
500.87,1.82,3.06,0.22,2026-05-10T07:10:04Z,false
502.52,1.89,3.06,0.22,2026-05-10T07:10:06Z,false
504.18,1.96,3.06,0.22,2026-05-10T07:10:08Z,false
505.83,2.03,3.06,0.22,2026-05-10T07:10:10Z,false
507.50,2.10,3.06,0.22,2026-05-10T07:10:12Z,false
509.16,2.17,3.06,0.22,2026-05-10T07:10:14Z,false
510.83,2.24,3.06,0.22,2026-05-10T07:10:16Z,false
512.50,2.32,3.06,0.23,2026-05-10T07:10:18Z,false
514.17,2.39,3.06,0.23,2026-05-10T07:10:20Z,false
515.84,2.47,3.06,0.23,2026-05-10T07:10:22Z,false
517.51,2.55,3.06,0.23,2026-05-10T07:10:24Z,false
519.19,2.64,3.06,0.23,2026-05-10T07:10:26Z,false
520.86,2.73,3.06,0.23,2026-05-10T07:10:28Z,false
522.53,2.82,3.06,0.23,2026-05-10T07:10:30Z,false
524.20,2.92,3.06,0.23,2026-05-10T07:10:32Z,false
525.86,3.03,3.06,0.24,2026-05-10T07:10:34Z,false
527.53,3.15,3.06,0.24,2026-05-10T07:10:36Z,false
529.18,3.27,3.06,0.24,2026-05-10T07:10:38Z,false
530.84,3.39,3.06,0.24,2026-05-10T07:10:40Z,false
532.49,3.53,3.06,0.24,2026-05-10T07:10:42Z,false
534.13,3.67,3.06,0.24,2026-05-10T07:10:44Z,false
535.77,3.82,3.07,0.24,2026-05-10T07:10:46Z,false
537.40,3.98,3.07,0.24,2026-05-10T07:10:48Z,false
539.03,4.15,3.07,0.24,2026-05-10T07:10:50Z,false
540.65,4.33,3.07,0.25,2026-05-10T07:10:52Z,false
542.26,4.52,3.07,0.25,2026-05-10T07:10:54Z,false
543.87,4.71,3.07,0.25,2026-05-10T07:10:56Z,false
545.47,4.91,3.07,0.25,2026-05-10T07:10:58Z,false
547.07,5.12,3.07,0.25,2026-05-10T07:11:00Z,false
548.66,5.34,3.07,0.25,2026-05-10T07:11:02Z,false
550.25,5.56,3.07,0.25,2026-05-10T07:11:04Z,false
551.83,5.79,3.06,0.25,2026-05-10T07:11:06Z,false
553.40,6.03,3.06,0.26,2026-05-10T07:11:08Z,false
554.98,6.28,3.06,0.26,2026-05-10T07:11:10Z,false
556.55,6.53,3.06,0.26,2026-05-10T07:11:12Z,false
558.12,6.78,3.06,0.26,2026-05-10T07:11:14Z,false
559.69,7.04,3.06,0.26,2026-05-10T07:11:16Z,false
561.25,7.31,3.06,0.26,2026-05-10T07:11:18Z,false
562.82,7.58,3.06,0.26,2026-05-10T07:11:20Z,false
564.39,7.85,3.06,0.26,2026-05-10T07:11:22Z,false
565.96,8.12,3.06,0.26,2026-05-10T07:11:24Z,false
567.54,8.40,3.06,0.27,2026-05-10T07:11:26Z,false
569.11,8.68,3.06,0.27,2026-05-10T07:11:28Z,false
570.69,8.96,3.06,0.27,2026-05-10T07:11:30Z,false
572.27,9.24,3.06,0.27,2026-05-10T07:11:32Z,false
573.86,9.52,3.06,0.27,2026-05-10T07:11:34Z,false
575.46,9.80,3.06,0.27,2026-05-10T07:11:36Z,false
577.06,10.08,3.06,0.27,2026-05-10T07:11:38Z,false
578.66,10.36,3.06,0.27,2026-05-10T07:11:40Z,false
580.27,10.64,3.06,0.27,2026-05-10T07:11:42Z,false
581.89,10.92,3.06,0.28,2026-05-10T07:11:44Z,false
583.51,11.19,3.06,0.28,2026-05-10T07:11:46Z,false
585.14,11.47,3.06,0.28,2026-05-10T07:11:48Z,false
586.78,11.75,3.06,0.28,2026-05-10T07:11:50Z,false
588.42,12.02,3.06,0.28,2026-05-10T07:11:52Z,false
590.06,12.30,3.06,0.28,2026-05-10T07:11:54Z,false
591.71,12.57,3.06,0.28,2026-05-10T07:11:56Z,false
593.37,12.84,3.06,0.28,2026-05-10T07:11:58Z,false
595.03,13.12,3.06,0.28,2026-05-10T07:12:00Z,false
596.69,13.40,3.06,0.28,2026-05-10T07:12:02Z,false
598.35,13.67,3.06,0.29,2026-05-10T07:12:04Z,false
600.02,13.95,3.05,0.29,2026-05-10T07:12:06Z,false
601.69,14.23,3.05,0.29,2026-05-10T07:12:08Z,false
603.35,14.51,3.05,0.29,2026-05-10T07:12:10Z,false
605.02,14.80,3.05,0.29,2026-05-10T07:12:12Z,false
606.68,15.09,3.05,0.29,2026-05-10T07:12:14Z,false
608.35,15.39,3.05,0.29,2026-05-10T07:12:16Z,false
610.01,15.69,3.05,0.29,2026-05-10T07:12:18Z,false
611.67,15.99,3.05,0.29,2026-05-10T07:12:20Z,false
613.32,16.30,3.05,0.29,2026-05-10T07:12:22Z,false
614.97,16.62,3.05,0.29,2026-05-10T07:12:24Z,false
616.62,16.95,3.05,0.29,2026-05-10T07:12:26Z,false
618.26,17.28,3.05,0.30,2026-05-10T07:12:28Z,false
619.89,17.62,3.05,0.30,2026-05-10T07:12:30Z,false
621.52,17.97,3.05,0.30,2026-05-10T07:12:32Z,false
623.14,18.32,3.05,0.30,2026-05-10T07:12:34Z,false
624.76,18.69,3.04,0.30,2026-05-10T07:12:36Z,false
626.37,19.06,3.04,0.30,2026-05-10T07:12:38Z,false
627.98,19.45,3.04,0.30,2026-05-10T07:12:40Z,false
629.58,19.84,3.04,0.30,2026-05-10T07:12:42Z,false
631.17,20.24,3.04,0.30,2026-05-10T07:12:44Z,false
632.76,20.65,3.04,0.30,2026-05-10T07:12:46Z,false
634.35,21.07,3.04,0.30,2026-05-10T07:12:48Z,false
635.93,21.50,3.04,0.30,2026-05-10T07:12:50Z,false
637.50,21.94,3.04,0.30,2026-05-10T07:12:52Z,false
639.08,22.39,3.04,0.30,2026-05-10T07:12:54Z,false
640.65,22.84,3.04,0.30,2026-05-10T07:12:56Z,false
642.22,23.31,3.04,0.30,2026-05-10T07:12:58Z,false
643.79,23.78,3.03,0.30,2026-05-10T07:13:00Z,true
645.36,24.25,3.28,0.30,2026-05-10T07:13:02Z,true
646.93,24.74,3.52,0.31,2026-05-10T07:13:04Z,true
648.50,25.22,3.76,0.31,2026-05-10T07:13:06Z,true
650.08,25.72,3.99,0.31,2026-05-10T07:13:08Z,true
651.65,26.22,4.21,0.31,2026-05-10T07:13:10Z,true
653.23,26.72,4.41,0.31,2026-05-10T07:13:12Z,true
654.81,27.22,4.60,0.31,2026-05-10T07:13:14Z,true
656.39,27.73,4.77,0.31,2026-05-10T07:13:16Z,true
657.98,28.24,4.93,0.31,2026-05-10T07:13:18Z,true
659.57,28.75,5.06,0.31,2026-05-10T07:13:20Z,true
661.16,29.27,5.17,0.31,2026-05-10T07:13:22Z,true
662.76,29.78,5.26,0.31,2026-05-10T07:13:24Z,true
664.36,30.29,5.32,0.31,2026-05-10T07:13:26Z,true
665.97,30.80,5.36,0.31,2026-05-10T07:13:28Z,true
667.58,31.32,5.37,0.31,2026-05-10T07:13:30Z,true
669.19,31.82,5.36,0.31,2026-05-10T07:13:32Z,true
670.81,32.33,5.32,0.31,2026-05-10T07:13:34Z,true
672.43,32.84,5.25,0.31,2026-05-10T07:13:36Z,true
674.05,33.34,5.16,0.31,2026-05-10T07:13:38Z,true
675.67,33.84,5.05,0.31,2026-05-10T07:13:40Z,true
677.29,34.34,4.92,0.31,2026-05-10T07:13:42Z,true
678.92,34.84,4.76,0.31,2026-05-10T07:13:44Z,true
680.54,35.33,4.58,0.31,2026-05-10T07:13:46Z,true
682.16,35.82,4.39,0.31,2026-05-10T07:13:48Z,true
683.79,36.31,4.18,0.31,2026-05-10T07:13:50Z,true
685.41,36.80,3.96,0.31,2026-05-10T07:13:52Z,true
687.02,37.28,3.73,0.31,2026-05-10T07:13:54Z,true
688.63,37.77,3.50,0.31,2026-05-10T07:13:56Z,true
